Country_Code,Year,Current_Account_Balance_Pct_GDP,FDI_Net_Inflows_Pct_GDP,Energy_Intensity_Primary_MJ_Per_GDP,Renewable_Electricity_Output_Pct,Renewable_Electricity_NoHydro_Pct,Renewable_Energy_Consumption_Pct,Energy_Imports_Net_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_GDP_PPP,Electric_Power_Consumption_Per_Capita,Energy_Use_Per_Capita_KgOE,Domestic_Credit_Private_Pct_GDP,Broad_Money_Pct_GDP,Broad_Money_Growth_Pct,CPI_Index,Inflation_CPI_Pct,Real_Interest_Rate_Pct,Central_Gov_Debt_Pct_GDP,Tax_Revenue_Pct_GDP,Gov_Expenditure_Pct_GDP,Exports_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Imports_Pct_GDP,Trade_Pct_GDP,Agriculture_Value_Added_Pct_GDP,Manufacturing_Value_Added_Pct_GDP,Industry_Value_Added_Pct_GDP,GDP_Deflator_Growth_Pct,GDP_Growth_Pct,GDP_Total_PPP,GDP_Per_Capita_PPP,Official_Exchange_Rate_LCU_Per_USD,Real_Effective_Exchange_Rate_Index,Gini_Index,Unemployment_Rate_Pct,Population_Total,Urban_Population_Pct,Fuel_Imports_Pct_Merchandise
CHN,2006,8.30532573537482,4.44499743873593,10.44,15.5566024437238,0.3509850472129,16.4,6.95939640874444,2.93,88.2842653796328,211.161311795121,2039.0146603408,1490.18647938836,107.588678865514,155.272748838162,22.1161188523734,87.9362296125358,1.6494309945586,2.01937450123308,,8.9294828249282,15.0329501874396,35.5268468681701,38.5215726233992,28.0427329939926,63.5695798621627,10.4758623658001,31.9945213596647,46.8865028592172,4.01945759696591,12.6746751655235,9251999154576.55,7057.09993331646,7.97343833333333,86.2585855257986,,4.43,1311020000.0,44.3430099487305,12.3926833159459
CHN,2007,9.79958953536146,4.33537500236917,9.83,15.2657979334449,0.47923328427474,14.9,7.94609861840451,3.07,89.3091739828854,199.091923345629,2325.92676902765,1595.46606847798,104.187272070106,147.145178873564,16.7355345835518,92.1719134940607,4.81676767378834,-0.411124456133464,,9.62573731753299,14.8435861590045,34.9066956194649,37.6709873123357,26.3597683811527,61.2664640006176,10.0934194559262,31.9005932714931,46.1852362301075,7.91365944548899,14.1499854947127,10561155692920.1,8013.71568302247,7.6075325,89.3277051084816,,4.35,1317885000.0,45.8892440795898,12.0774574677806
CHN,2008,9.0108699631763,3.67520717506325,9.21,17.6408195697663,0.762948905235804,14.1,8.6324519295838,3.56,89.5211571180054,186.416410638516,2446.36905458402,1629.97754209383,100.394357016482,146.512649012789,17.778107551017,97.6333310615016,5.92525137041092,-2.36108572327859,,9.94341352833548,14.7289171300496,32.092513602143,38.8030814219879,24.6186193981779,56.7111330003209,10.0099770734138,31.6169791482305,46.2364191302482,7.85658646463206,9.67024588602851,11582445416831.7,8743.74491232188,6.948655,97.0082592467144,43.0,4.59,1324655000.0,46.9895057678223,16.2711291977477
CHN,2009,4.68740638141982,2.52538984334254,8.98,17.8108790138305,1.23941491135677,13.4,12.0784803208113,3.6,90.1612712655318,181.607267408243,2612.45662004417,1728.61645229501,122.288748651673,172.126190075826,28.4232778726154,96.9223990713834,-0.728165250932898,5.39639019800592,,10.1348503814718,14.9931908239159,24.3307718125403,43.4097668520056,20.0889926205716,44.4197644331119,9.47299581661597,31.0611528606438,45.1788587231356,-0.0819669419831399,9.40269972778044,12671507980510.5,9518.43214737204,6.83141605176666,101.106933215014,,4.72,1331260000.0,48.3417053222656,13.484738554153
CHN,2010,3.84025673415249,3.93541996731512,8.96,18.7929868229344,1.631076144851,12.3,13.5822901864238,3.74,90.8066275814595,181.342431883602,2943.58995443689,1899.79996108685,124.41964802576,173.1296534949,18.9483146133247,100.0,3.17532475269199,-1.04598657931298,,10.0382796581446,14.837784222569,26.7227451502469,43.5201821905755,23.1313270836509,49.8540722338977,9.16649906130733,31.0748956423241,45.7066207106778,6.92845731295996,10.5962719761682,14014215429607.2,10476.3123630451,6.77026902870939,100.0,43.7,4.53,1337705000.0,49.2340270628041,14.6570367951992
CHN,2011,1.77399724587567,3.65069190228423,8.78,16.836073329416,2.01460548997288,11.3,14.7187375691953,3.73,91.4247318781345,177.769590609302,3295.78486805176,2027.46525356855,121.162051983871,171.792982609304,17.3229697862854,105.553898922575,5.55389892257493,-1.34800592549109,,10.1512000219484,15.511543498627,26.1518828948759,43.515390928039,23.7939443304884,49.9458272253643,9.0338458593332,31.5623565182378,45.8002054108107,8.0160629287619,9.4613358870736,15340147423340.5,11405.0172845617,6.46146132655007,102.693708865588,42.4,4.55,1345035000.0,51.8300285339355,17.01185965091
CHN,2012,2.48328422404793,2.78099138181613,8.43,20.0980373624987,2.63509900291247,11.5,16.5519076203457,4.42,91.1492191796216,170.669797393442,3466.02027780444,2085.21872095825,126.815170336428,177.923288760071,14.3916520166902,108.318908982374,2.61952432645541,3.51038465814056,,10.0894667610088,15.9047696976095,25.07670432956,43.8737076505916,22.4035087488717,47.4802130784317,8.96505673533992,31.0143036500115,44.6820698165478,2.40518412725621,7.85617427055587,16545296138278.3,12217.8543175465,6.31233282683186,108.669456884143,42.2,4.58,1354190000.0,53.1003112792969,18.6846299600296
CHN,2013,1.52111320885029,2.98598708261986,8.08,20.1334892653115,3.23888176908446,11.5,17.3260320088109,4.94,91.0001219143645,163.39375409081,3757.18508846571,2137.32572690907,131.934906062997,183.302565918285,13.5889022146314,111.158001765192,2.62105001748115,3.61884518177429,,9.7321625039509,15.9462837052091,24.1633430905854,44.0755431365052,21.7526982889717,45.9160413795571,8.78442131602471,30.1275021518721,43.3938707801605,2.29799397401945,7.77872409446717,17832309075487.5,13080.8288162668,6.19575834608231,114.653227661175,39.7,4.6,1363240000.0,54.4900016784668,17.5824320123903
CHN,2014,2.21130586371267,2.51155883670463,7.71,22.0557011175979,3.61274014155713,11.9,17.5411749363193,5.57,89.5548400213043,155.889137104532,4006.16826789906,2177.55011435267,137.621954048881,187.314251294572,11.0119361361336,113.294060199837,1.92164162788521,4.46024340812095,,9.49826837509792,15.8783188765672,23.0719766947263,43.3803473680085,20.9964797865269,44.0684564812532,8.48242940933654,29.8300397890826,42.2827157791092,1.09109126562731,7.46190028229434,19162938196730.9,13968.581485524,6.14343409448867,118.357691761294,39.2,4.63,1371860000.0,55.7502555847168,17.4581920006584
CHN,2015,2.59752794949746,2.14957284731563,7.24,23.8649488788885,4.55807103746262,12.2,16.7064227414127,6.25,71.0695588904552,146.408194598537,4017.07781948893,2175.1544486832,149.618620153294,198.185813599802,13.343101694296,114.922122819495,1.43702380935655,4.20696426973205,,9.19468038601503,16.2578121496943,20.9390642234326,41.6166710438192,17.7581206128298,38.6971848362625,8.22401359479525,28.3889960582852,40.0475902161032,0.137261200602396,6.97878002657477,20500277500109.2,14856.7807604461,6.22748867298455,130.042747774101,38.6,4.65,1379860000.0,57.3297843933105,12.9271912758671
