Country_Code,Year,FDI_Net_Inflows_Pct_GDP,Energy_Intensity,Renewable_Electricity_Output_Pct,Renewable_Energy_Consumption_Pct,Net_Energy_Imports_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_Capita,Broad_Money_Pct_GDP,CPI_Inflation,Domestic_Credit_Pct_GDP,Gov_Expenditure_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Trade_Pct_GDP,GDP_Growth,GDP_Per_Capita
ITA,2019,1.77066894209208,2.43,40.0521927630482,17.3,82.2279640302359,8.98,0.0,2494.02659804115,,0.611246943765281,,18.5421071991348,18.1291790303995,58.6941902594738,0.429162533780342,32180.4341017428
ITA,2020,-0.893869914296462,2.47,42.3735273463539,18.7,76.8695186600949,9.77,0.0,2313.10006204514,,-0.137707573916501,,20.5680570300128,18.2018164062184,53.9394839042764,-8.86822122185345,29469.7989238626
ITA,2021,1.20474315612308,2.51,40.9735703240403,17.5,76.6329781818496,8.92,0.0,2531.08698798735,,1.87378325762482,,19.1946040488087,20.7705217357607,60.3019776202798,8.93106210800055,32267.7091050201
ITA,2022,2.94181405797187,2.3,,,83.6290340580981,8.48,0.0,2411.65172417311,,8.20128991161714,,18.7892572071706,21.7757352760856,72.0165023032697,4.82117669913565,33891.8866526216
ITA,2023,1.82329512104505,,,,79.59805806701,9.95,0.0,2298.03020788708,,5.62219442195906,,17.7580827535083,22.5173619093643,65.6408634740709,0.715372500867531,34146.0232257736
JPN,2000,0.215124715468568,4.7,10.2781393693635,3.7,82.8158357838335,18.43,81.0069383130129,4067.03534426909,229.077615476664,-0.67657868359508,290.196962110143,16.549191407008,28.4871419080841,19.5623715839054,2.76464755136783,31430.631130325
JPN,2001,0.112602474486226,4.6,10.1699450211479,3.5,81.201679168534,18.56,80.9685177191869,3990.10602386433,190.928195956053,-0.740055504162812,280.530390006151,17.2289905143177,27.7309731011096,19.5596044720071,0.386103426142029,31476.0520665746
JPN,2002,0.276304070175932,4.62,9.85338824915103,3.7,82.9888784175082,17.22,81.8108760949912,3992.91998129661,195.327455624032,-0.923494026942286,288.405464689291,17.7749067788644,26.2604182019213,20.4471220661583,0.0419624992862282,31416.1241772309
JPN,2003,0.194079344432153,4.52,11.2211333327667,4.2,85.4788968124398,14.76,84.2322037356209,3956.90048891144,196.574393961776,-0.25654181631606,297.168610975335,17.8364695899716,25.7133538154767,21.3261252678119,1.53512549946694,31830.217584972
JPN,2004,0.153847735604894,4.56,10.919454165101,4.3,83.7746111126745,16.37,82.5590688068251,4085.4919552124,195.767215356075,-0.00857338820306043,293.608773897134,17.7233548337375,25.3239274810451,23.6643534228975,2.18611569439318,32515.1158024695
JPN,2005,0.113001254131506,4.46,9.57878351712967,4.0,83.4649315674778,17.27,81.5423616339687,4066.44200433533,195.046079401242,-0.282946068764429,294.506827593408,17.7438933244397,25.9010440257525,26.2299545778565,1.80390087215821,33098.5474664881
JPN,2006,-0.0520879011005219,4.4,10.5870701137256,4.4,82.3651990491479,17.38,81.2431488292719,4064.36044717698,192.694099933068,0.249355116079105,288.739488857937,17.595075361072,26.0446863446433,30.0163760986692,1.3723501275831,33531.518563066
